TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
Улыбался и стоял рядом с Луценко: Евгений Карась показал фото с презентации Томоса в Украине,"улыба,стоя,ряд,луценк,евген,кар,показыва,фот,презентац,томос,украин",презентац (0.792;0.604;0.553) ,0.792,0.604,0.553
Священник потерял сознание рядом с Порошенко во время подписания томоса,"священник,потеря,сознан,ряд,порошенк,врем,подписан,томос",потеря (0.115;0.538;0.176) ,0.115,0.538,0.176
Как Путин помог Украине получить Томос об автокефалии ПЦУ,"путин,помога,украин,получа,томос,автокефал,пцу",помога (0.930;0.624;0.471) ,0.93,0.624,0.471
Где сейчас находится Томос: СМИ сообщают,"наход,томос,сми,сообща",сообща (0.418;0.442;0.567) ,0.418,0.442,0.567
Священник потерял сознание рядом с Порошенко во время подписания томоса,"священник,потеря,сознан,ряд,порошенк,врем,подписан,томос",потеря (0.115;0.538;0.176) ,0.115,0.538,0.176
Томос из Киева увезут в Стамбул - не хватает подписей,"томос,ки,увезт,стамбул,хвата,подп",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Томос из Киева увезут в Стамбул - не хватает подписей,"томос,ки,увезт,стамбул,хвата,подп",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Guardian: Москва и Киев решили сразиться на небесах,"guardian,москв,ки,реша,сража,неб","ки (0.521;0.433;0.484) ,сража (0.133;0.920;0.585) ",0.327,0.676,0.534
Огромная победа и плод усилий очень многих людей: Джемилев прокомментировал получение Томоса,"огромн,побед,плод,усил,очен,мног,человек,джемил,прокомментирова,получен,томос",плод (0.479;0.519;0.395) ,0.479,0.519,0.395
Это огромная победа и плод усилий очень многих людей: Джемилев прокомментировал получение Томоса | Новости Украины (UAZMI),"эт,огромн,побед,плод,усил,очен,мног,человек,джемил,прокомментирова,получен,томос,новост,украин,uazmi",плод (0.479;0.519;0.395) ,0.479,0.519,0.395
Украина получила томос: почему он уедет обратно,"украин,получа,томос,поч,уезжа,обратн",обратн (0.594;0.406;0.598) ,0.594,0.406,0.598
Как украинцы встретили Томос в Киеве и как реагировали в УПЦ МП,"украинец,встреча,томос,ки,реагирова,упц,мп",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Томос в Киеве: в Софии Киевской показали исторический документ,"томос,ки,соф,киевск,показыва,историческ,документ",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Мама Митрополита Епифания рассказала о его учебе и как тосковала из-за монашеского выбора сына,"мам,митропол,епифан,рассказыва,учеб,тоскова,монашеск,выбор,сын",тоскова (0.592;0.491;0.491) ,0.592,0.491,0.491
Томос из Киева опять увезут в Стамбул,"томос,ки,увезт,стамбул",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Томос об автокефалии УПЦ вернут в Стамбул,"томос,автокефал,упц,вернут,стамбул",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
Томос об автокефалии ПЦУ пробудет в Украине недолго: вечером 7 января его вернут в Стамбул,"томос,автокефал,пцу,проб,украин,недолг,вечер,январ,вернут,стамбул",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
Томос об автокефалии украинской церкви возвращается в Стамбул,"томос,автокефал,украинск,церков,возвраща,стамбул",возвраща (0.380;0.451;0.519) ,0.38,0.451,0.519
Томос об автокефалии ПЦУ вернут в Стамбул - Национальный Банк Новостей,"томос,автокефал,пцу,вернут,стамбул,национальн,банк,новост",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
Спасибо за Томос!: украинцы празднуют на Софийской площади - Национальный Банк Новостей,"спасиб,томос,украинец,празднова,софийск,площад,национальн,банк,новост",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Священник упал в обморок рядом с Порошенко: уже становится привычным. ВИДЕО,"священник,упаст,обморок,ряд,порошенк,станов,привычн,виде","обморок (0.333;0.510;0.214) ,виде (0.646;0.577;0.427) ",0.49,0.543,0.321
СМИ показали многотысячную очередь к Софии Киевской – все хотят посмотреть на Томос,"сми,показыва,многотысячн,очеред,соф,киевск,хотет,посмотрет,томос","хотет (0.671;0.642;0.598) ,посмотрет (0.633;0.588;0.586) ",0.652,0.615,0.592
СМИ показали многотысячную очередь к Софии Киевской – все хотят посмотреть на Томос | Новости Украины (UAZMI),"сми,показыва,многотысячн,очеред,соф,киевск,хотет,посмотрет,томос,новост,украин,uazmi","хотет (0.671;0.642;0.598) ,посмотрет (0.633;0.588;0.586) ",0.652,0.615,0.592
Томос из Киева опять увезут в Стамбул,"томос,ки,увезт,стамбул",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Спасибо за Томос!: украинцы празднуют на Софийской площади,"спасиб,томос,украинец,празднова,софийск,площад",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Мы освободили нашу Церковь из московской неволи - Президент о получении Томосу об автокефалии Православной Церкви Украины,"освобожда,наш,церков,московск,невол,президент,получен,томос,автокефал,православн,церков,украин",невол (0.225;0.493;0.387) ,0.225,0.493,0.387
Для нас нет ничего невозможного,"ничт,невозможн",невозможн (0.170;0.625;0.306) ,0.17,0.625,0.306
Томос отвезут обратно в Стамбул,"томос,отвоз,обратн,стамбул",обратн (0.594;0.406;0.598) ,0.594,0.406,0.598
Томос в ближайшие дни должны вернуть в Стамбул: названа причина,"томос,близк,ден,должн,вернут,стамбул,называ,причин",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
Томос об автокефалии православной церкви Украины временно вернется на Фанар,"томос,автокефал,православн,церков,украин,времен,вернут,фанар","времен (0.570;0.470;0.461) ,вернут (0.602;0.412;0.463) ",0.586,0.441,0.462
В Софийском соборе: представляют томос - видео,"софийск,собор,представля,томос,виде",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
Епифаний начал рождественскую литургию в Софийском соборе: фото и видео,"епифан,начина,рождественск,литург,софийск,собор,фот,виде","начина (0.490;0.480;0.387) ,виде (0.646;0.577;0.427) ",0.568,0.528,0.407
Зрада или перемога: Митрополит Епифаний упомянул главу РПЦ Кирилла в рождественской литургии,"зрад,перемог,митропол,епифан,упомина,глав,рпц,кирилл,рождественск,литург",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Томос: как все произошло,"томос,происход",происход (0.646;0.529;0.555) ,0.646,0.529,0.555
Томос в Украине ненадолго - отправляют обратно в Константинополь,"томос,украин,ненадолг,отправля,обратн,константинопол",обратн (0.594;0.406;0.598) ,0.594,0.406,0.598
Интер вместо рождественского богослужения в Софии Киевской транслировал службу во главе с Онуфрием,"интер,вмест,рождественск,богослужен,соф,киевск,транслирова,служб,глав,онуфр",глав (0.550;0.410;0.345) ,0.55,0.41,0.345
Томос об автокефалии ПЦУ придется на время отвезти обратно на Фанар,"томос,автокефал,пцу,приход,врем,отвоз,обратн,фанар",обратн (0.594;0.406;0.598) ,0.594,0.406,0.598
Томос вернется на некоторое время на Фанар для подписи членами Синода Вселенского патриархата,"томос,вернут,некотор,врем,фанар,подп,член,синод,вселенск,патриархат",вернут (0.602;0.412;0.463) ,0.602,0.412,0.463
В центре Киева на Рождество изменили движение транспорта,"центр,ки,рождеств,изменя,движен,транспорт",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
В Софийском соборе: представляют томос - видео,"софийск,собор,представля,томос,виде",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
Порошенко торжественно принес томос в Софийский собор и разрешил на него смотреть,"порошенк,торжествен,принос,томос,софийск,собор,разреша,смотрет",принос (0.635;0.460;0.462) ,0.635,0.46,0.462
На Софийской площади собираются украинцы на праздничное богослужение,"софийск,площад,собира,украинец,праздничн,богослужен",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Порошенко: Украина окончательно разорвала путы,"порошенк,украин,окончательн,разрыва,пут","разрыва (0.156;0.635;0.451) ,пут (0.646;0.410;0.519) ",0.401,0.522,0.485
На Софийской площади собираются украинцы на праздничное богослужение - Национальный Банк Новостей,"софийск,площад,собира,украинец,праздничн,богослужен,национальн,банк,новост",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Порошенко позвал украинцев на Софийскую площадь помолиться за ПЦУ,"порошенк,позва,украинец,софийск,площад,помол,пцу",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
В Киеве началась Рождественская литургия,"ки,начина,рождественск,литург","ки (0.521;0.433;0.484) ,начина (0.490;0.480;0.387) ",0.506,0.457,0.435
Порошенко позвал украинцев на молитву на Софийской площади в Киеве,"порошенк,позва,украинец,молитв,софийск,площад,ки","площад (0.741;0.450;0.528) ,ки (0.521;0.433;0.484) ",0.631,0.442,0.506
В Софийском соборе в Киеве проходит рождественская литургия при участии руководства Украины,"софийск,собор,ки,проход,рождественск,литург,участ,руководств,украин",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Представление томоса в Киеве. Обновляется,"представлен,томос,ки,обновля","ки (0.521;0.433;0.484) ,обновля (0.656;0.633;0.541) ",0.589,0.533,0.512
В Софии Киевской началась рождественская литургия,"соф,киевск,начина,рождественск,литург",начина (0.490;0.480;0.387) ,0.49,0.48,0.387
В Святой Софии в Киеве на Рождественской литургии представили томос (фото,"свят,соф,ки,рождественск,литург,представля,томос,фот",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
В центре Киева на Рождество меняется движение транспорта,"центр,ки,рождеств,меня,движен,транспорт",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Долгий путь к автокефалии: Процесс создания украинской церкви завершен,"долг,пут,автокефал,процесс,создан,украинск,церков,заверша","долг (0.204;0.598;0.336) ,пут (0.646;0.410;0.519) ,заверша (0.556;0.550;0.578) ",0.469,0.519,0.478
В Раде сделали важное заявление по переходу храмов УПЦ МП в ПЦУ,"рад,сдела,важн,заявлен,переход,храм,упц,мп,пцу","рад (0.573;0.402;0.358) ,переход (0.605;0.561;0.558) ",0.589,0.482,0.458
Первое богослужение после предоставления томоса проведут на Рождество в центре Киева,"перв,богослужен,предоставлен,томос,провод,рождеств,центр,ки",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
В Киеве в храме Святой Софии проходит рождественская литургия,"ки,храм,свят,соф,проход,рождественск,литург",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Ни одна из московских разработок против церкви не сработала,"московск,разработк,прот,церков,срабатыва",разработк (0.708;0.500;0.598) ,0.708,0.5,0.598
Томос об автокефалии ПЦУ прибыл в Киев - СМИ,"томос,автокефал,пцу,прибыва,ки,сми",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Кого Украина должна благодарить за Томос: красноречивое заявление Порошенко,"украин,должн,благодар,томос,красноречив,заявлен,порошенк",благодар (0.918;0.472;0.461) ,0.918,0.472,0.461
Томос уже в Киеве,"томос,ки",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Московский патриархат исключил совместные службы с ПЦУ,"московск,патриархат,исключа,совместн,служб,пцу",исключа (0.408;0.413;0.526) ,0.408,0.413,0.526
Томос об автокефалии украинской церкви уже прибыл в Киев – СМИ,"томос,автокефал,украинск,церков,прибыва,ки,сми",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Порошенко призвал украинцев 7 января помолиться на Софийской площади - Национальный Банк Новостей,"порошенк,призыва,украинец,январ,помол,софийск,площад,национальн,банк,новост",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Поздравления с Рождеством. Порошенко позвал украинцев в центр Киева,"поздравлен,рождеств,порошенк,позва,украинец,центр,ки",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Порошенко поздравил украинцев с Рождеством и рождением независимой церкви,"порошенк,поздравля,украинец,рождеств,рожден,независим,церков","рожден (0.896;0.655;0.536) ,независим (0.549;0.595;0.447) ",0.723,0.625,0.492
Президент Украины зовет всех завтра на Софийскую площадь помолиться,"президент,украин,зват,ве,завтр,софийск,площад,помол",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Порошенко поздравил украинцев с Рождеством и рождением независимой церкви - Национальный Банк Новостей,"порошенк,поздравля,украинец,рождеств,рожден,независим,церков,национальн,банк,новост","рожден (0.896;0.655;0.536) ,независим (0.549;0.595;0.447) ",0.723,0.625,0.492
Москва – слабее,"москв,слаб",слаб (0.063;0.429;0.167) ,0.063,0.429,0.167
Порошенко поздравил украинцев с Рождеством и пригласил завтра утром на литургию на Софиевской площади,"порошенк,поздравля,украинец,рождеств,приглаша,завтр,утр,литург,софиевск,площад",площад (0.741;0.450;0.528) ,0.741,0.45,0.528
Украина отошла от России и в религиозной сфере – австрийские СМИ - Национальный Банк Новостей,"украин,отход,росс,религиозн,сфер,австрийск,сми,национальн,банк,новост",отход (0.398;0.480;0.444) ,0.398,0.48,0.444
Украина отошла от России и в религиозной сфере – австрийские СМИ,"украин,отход,росс,религиозн,сфер,австрийск,сми",отход (0.398;0.480;0.444) ,0.398,0.48,0.444
Уже пятый приход УПЦ МП на Львовщине перешел к ПЦУ,"пят,приход,упц,мп,львовщин,переход,пцу",переход (0.605;0.561;0.558) ,0.605,0.561,0.558
Процесс транспортировки Томоса в Киев будет надежным — Климкин - Национальный Банк Новостей,"процесс,транспортировк,томос,ки,надежн,климкин,национальн,банк,новост",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Для Кремля автокефалия украинской церкви сравнима с распадом СССР - Порошенко,"кремл,автокефал,украинск,церков,сравним,распад,ссср,порошенк",сравним (0.562;0.443;0.458) ,0.562,0.443,0.458
В Раде предложили переименовать улицы в Киеве в честь Варфоломея и Филарета,"рад,предлага,переименовыва,улиц,ки,чест,варфолом,филарет","рад (0.573;0.402;0.358) ,предлага (0.750;0.745;0.596) ,ки (0.521;0.433;0.484) ",0.615,0.527,0.479
Процесс транспортировки Томоса в Киев будет надежным — Климкин,"процесс,транспортировк,томос,ки,надежн,климкин",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
Климкин: Процесс транспортировки Томоса в Киев будет надежным | Новости Украины (UAZMI),"климкин,процесс,транспортировк,томос,ки,надежн,новост,украин,uazmi",ки (0.521;0.433;0.484) ,0.521,0.433,0.484
"Томос – бизнес: Чем расплатится с Константинополем ""Петр Креститель"" - Национальный Банк Новостей","томос,бизнес,расплачива,константинопол,петр,крестител,национальн,банк,новост",бизнес (0.500;0.473;0.473) ,0.5,0.473,0.473
Справедливость восстановлена,"справедлив,восстанавлива",восстанавлива (0.760;0.551;0.596) ,0.76,0.551,0.596
Порошенко обещает украинцам религиозную свободу,"порошенк,обеща,украинец,религиозн,свобод",обеща (0.571;0.551;0.593) ,0.571,0.551,0.593
Порошенко обещает украинцам религиозную свободу,"порошенк,обеща,украинец,религиозн,свобод",обеща (0.571;0.551;0.593) ,0.571,0.551,0.593
Видео дня: Томос,"виде,ден,томос",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
После томоса начинается новая страница в истории Украины,"томос,начина,нов,страниц,истор,украин","начина (0.490;0.480;0.387) ,нов (0.917;0.490;0.582) ",0.704,0.485,0.484
Парубий сообщил,"паруб,сообща",сообща (0.418;0.442;0.567) ,0.418,0.442,0.567
Московский патриархат исключил совместные службы с ПЦУ,"московск,патриархат,исключа,совместн,служб,пцу",исключа (0.408;0.413;0.526) ,0.408,0.413,0.526
Парубий сообщил,"паруб,сообща",сообща (0.418;0.442;0.567) ,0.418,0.442,0.567
Господь сделал нам огромный подарок на Рождество — Порошенко,"господ,сдела,огромн,подарок,рождеств,порошенк",подарок (0.880;0.539;0.483) ,0.88,0.539,0.483
Господь сделал нам огромный подарок на Рождество — Порошенко - Национальный Банк Новостей,"господ,сдела,огромн,подарок,рождеств,порошенк,национальн,банк,новост",подарок (0.880;0.539;0.483) ,0.88,0.539,0.483
Парубий назвал дату прибытия томоса в Украину,"паруб,называ,дат,прибыт,томос,украин",прибыт (0.678;0.510;0.474) ,0.678,0.51,0.474
Митрополит Епифаний в Константинополе призывает церковь молиться за мир в Украине,"митропол,епифан,константинопол,призыва,церков,мол,мир,украин",мол (0.602;0.480;0.453) ,0.602,0.48,0.453
Варфоломей навсегда останется в истории православной церкви - Порошенко,"варфолом,навсегд,остава,истор,православн,церков,порошенк",навсегд (0.677;0.450;0.403) ,0.677,0.45,0.403
Справедливость восстановлена,"справедлив,восстанавлива",восстанавлива (0.760;0.551;0.596) ,0.76,0.551,0.596
Варфоломей навсегда останется в истории православной церкви - Порошенко - Национальный Банк Новостей,"варфолом,навсегд,остава,истор,православн,церков,порошенк,национальн,банк,новост",навсегд (0.677;0.450;0.403) ,0.677,0.45,0.403
"Порошенко: ""Томос – это фактически еще один акт провозглашения независимости""","порошенк,томос,эт,фактическ,акт,провозглашен,независим",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
Томос является еще одним Актом провозглашения независимости Украины - Порошенко,"томос,явля,акт,провозглашен,независим,украин,порошенк",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
Второй Акт провозглашения независимости: Порошенко приветствовал Томос для Украины,"втор,акт,провозглашен,независим,порошенк,приветствова,томос,украин",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
"Долгожданное ""да"": Порошенко назвал томос еще одним актом независимости Украины","долгожда,порошенк,называ,томос,акт,независим,украин",независим (0.549;0.595;0.447) ,0.549,0.595,0.447
В Стамбуле проходит праздничная литургия и церемония передачи Томоса: онлайн-трансляция,"стамбул,проход,праздничн,литург,церемон,передач,томос,онлайн,трансляц",передач (0.615;0.520;0.455) ,0.615,0.52,0.455
"Томос – бизнес: Чем расплатится с Константинополем ""Петр Креститель""","томос,бизнес,расплачива,константинопол,петр,крестител",бизнес (0.500;0.473;0.473) ,0.5,0.473,0.473
Православная церковь Украины получила томос (видео),"православн,церков,украин,получа,томос,виде",виде (0.646;0.577;0.427) ,0.646,0.577,0.427
