NAME,TOKENS
В центре Киева на Рождество изменили движение транспорта,"центр,ки,рождеств,изменя,движен,транспорт"
Порошенко с Епифанием внесли в Софийский собор томос об автокефалии ПЦУ (ФОТО),"порошенк,епифан,внос,софийск,собор,томос,автокефал,пцу,фот"
Порошенко с Епифанием внесли томос в Софийский собор,"порошенк,епифан,внос,томос,софийск,собор"
В Софийском соборе: представляют томос - видео,"софийск,собор,представля,томос,виде"
Интер не транслировал рождественское богослужение в Софии Киевской,"интер,транслирова,рождественск,богослужен,соф,киевск"
Томос торжественно развернули в Софийском соборе,"томос,торжествен,развертыва,софийск,собор"
Как в Украине встречают томос,"украин,встреча,томос"
Рождественская литургия в Софии Киевской: представление Томоса - Национальный Банк Новостей,"рождественск,литург,соф,киевск,представлен,томос,национальн,банк,новост"
Автокефалия,автокефал
Автокефалия,автокефал
ПЦУ запустила свой сайт,"пцу,запуска,сво,сайт"
Епифаний проводит Рождественскую литургию,"епифан,провожа,рождественск,литург"
Порошенко торжественно принес томос в Софийский собор и разрешил на него смотреть,"порошенк,торжествен,принос,томос,софийск,собор,разреша,смотрет"
Порошенко с Епифанием вместе внесли Томос в Софийский собор [онлайн-трансляция],"порошенк,епифан,вмест,внос,томос,софийск,собор,онлайн,трансляц"
Епифаний: Верю,"епифан,вер"
На Софийской площади собираются украинцы на праздничное богослужение,"софийск,площад,собира,украинец,праздничн,богослужен"
Порошенко вместе с Епифанием внес в Софийский собор Томос,"порошенк,вмест,епифан,внос,софийск,собор,томос"
Порошенко: Украина окончательно разорвала путы,"порошенк,украин,окончательн,разрыва,пут"
Томос внесли в Софийский собор,"томос,внос,софийск,собор"
На Софийской площади собираются украинцы на праздничное богослужение - Национальный Банк Новостей,"софийск,площад,собира,украинец,праздничн,богослужен,национальн,банк,новост"
Порошенко позвал украинцев на Софийскую площадь помолиться за ПЦУ,"порошенк,позва,украинец,софийск,площад,помол,пцу"
Праздничное богослужение в Софии Киевской с участием президента (ТРАНСЛЯЦИЯ),"праздничн,богослужен,соф,киевск,участ,президент,трансляц"
Филарет заявил,"филарет,заявля"
В Киеве началась Рождественская литургия,"ки,начина,рождественск,литург"
В Святой Софии проходит рождественская литургия перед обнародованием томоса: онлайн-трансляция,"свят,соф,проход,рождественск,литург,обнародован,томос,онлайн,трансляц"
Порошенко позвал украинцев на молитву на Софийской площади в Киеве,"порошенк,позва,украинец,молитв,софийск,площад,ки"
В Софии Киевской проходит молитва за ПЦУ: прямая трансляция,"соф,киевск,проход,молитв,пцу,прям,трансляц"
Епифаний проводит Рождественскую литургию,"епифан,провожа,рождественск,литург"
В Софийском соборе в Киеве проходит рождественская литургия при участии руководства Украины,"софийск,собор,ки,проход,рождественск,литург,участ,руководств,украин"
Порошенко с Епифанием вместе внесли томос в Софийский собор,"порошенк,епифан,вмест,внос,томос,софийск,собор"
Представление томоса в Киеве. Обновляется,"представлен,томос,ки,обновля"
В Софии Киевской началась рождественская литургия,"соф,киевск,начина,рождественск,литург"
В Святой Софии в Киеве на Рождественской литургии представили томос (фото,"свят,соф,ки,рождественск,литург,представля,томос,фот"
Порошенко поздравил украинцев с Рождеством,"порошенк,поздравля,украинец,рождеств"
В центре Киева на Рождество меняется движение транспорта,"центр,ки,рождеств,меня,движен,транспорт"
Долгий путь к автокефалии: Процесс создания украинской церкви завершен,"долг,пут,автокефал,процесс,создан,украинск,церков,заверша"
В Раде сделали важное заявление по переходу храмов УПЦ МП в ПЦУ,"рад,сдела,важн,заявлен,переход,храм,упц,мп,пцу"
